#{"t_start": 1774199343.3682072, "env_id": "None"}
r,l,t
-21.0,211,1605.79614
-21.0,221,1616.866102
-21.0,206,1625.205242
-21.0,186,1632.705997
-21.0,208,1641.332147
-21.0,183,1653.854104
-21.0,189,1668.389462
-21.0,204,1676.814236
-21.0,201,1684.861259
-21.0,197,1693.243932
-20.0,208,1702.476454
-21.0,204,1712.55385
-18.0,248,1722.090097
-21.0,189,1730.579948
-21.0,194,1738.414138
-21.0,215,1747.323446
-21.0,197,1758.781876
-21.0,186,1768.414892
-21.0,201,1775.495431
-21.0,190,1781.731008
-21.0,186,1788.356189
-21.0,184,1794.435649
-21.0,183,1800.52315
-21.0,190,1806.762299
-20.0,242,1814.562483
-21.0,189,1821.440608
-21.0,223,1828.845391
-21.0,192,1835.005937
-21.0,190,1841.546334
-21.0,215,1849.45983
-21.0,191,1855.945068
-21.0,190,1862.615737
-21.0,201,1869.074799
-21.0,184,1875.385947
-21.0,191,1881.826608
-21.0,185,1889.376797
-21.0,182,1896.999748
-21.0,191,1906.515436
-21.0,182,1917.055732
-20.0,219,1927.550627
-21.0,183,1936.11377
-21.0,182,1943.760456
-21.0,189,1951.142
-21.0,186,1960.146774
-20.0,208,1977.385051
-21.0,184,1984.709948
-21.0,216,1991.897552
-21.0,184,1997.755707
-20.0,206,2004.1543
-21.0,216,2011.118454
-21.0,198,2019.267002
-21.0,184,2026.602097
-21.0,189,2032.621304
-21.0,218,2045.457053
-21.0,187,2062.020423
-21.0,196,2071.928202
-21.0,201,2081.443082
-21.0,191,2087.493237
-21.0,182,2094.955844
-20.0,218,2103.525475
-21.0,195,2109.403972
-21.0,204,2115.52319
-21.0,183,2121.201398
-21.0,192,2127.519058
-19.0,243,2135.415682
-21.0,190,2142.431376
-21.0,220,2149.473197
-21.0,189,2156.288505
-21.0,209,2162.826446
-21.0,192,2170.458068
-21.0,183,2178.29351
-20.0,214,2186.784928
-21.0,201,2194.648301
-21.0,184,2201.833663
-21.0,190,2210.3233
-20.0,238,2219.244207
-21.0,201,2225.078286
-21.0,188,2231.521062
-21.0,203,2237.197738
-21.0,183,2242.572361
-21.0,201,2249.60836
-21.0,182,2255.187562
-21.0,182,2260.981897
-21.0,213,2266.260684
-20.0,215,2272.811701
-21.0,223,2279.890324
-21.0,182,2284.191623
-20.0,222,2289.186261
-20.0,247,2296.620137
-21.0,207,2303.182093
-21.0,188,2308.821587
-20.0,241,2315.844017
-21.0,186,2321.188165
-21.0,191,2327.868519
-20.0,207,2334.037177
-21.0,185,2339.654433
-21.0,182,2345.532954
-21.0,186,2351.602955
-19.0,253,2359.285782
-19.0,257,2367.524639
-21.0,191,2374.149705
-21.0,203,2382.419822
-20.0,227,2390.836988
-21.0,193,2396.857723
-21.0,213,2403.925872
-21.0,203,2411.028261
-20.0,227,2421.442953
-21.0,186,2427.618766
-21.0,186,2435.077297
-21.0,192,2443.039193
-21.0,189,2450.728525
-19.0,279,2466.164953
-20.0,214,2476.113365
-21.0,256,2486.281449
-19.0,228,2495.696542
-21.0,184,2502.282618
-21.0,193,2509.192933
-21.0,186,2517.700371
-21.0,230,2526.251319
-21.0,217,2535.13417
-20.0,205,2543.338842
-21.0,183,2550.779823
-21.0,204,2559.978466
-21.0,209,2569.114921
-21.0,189,2578.795356
-21.0,201,2587.038971
-21.0,206,2595.347135
-21.0,223,2604.640126
-21.0,200,2612.467268
-21.0,190,2619.505438
-21.0,217,2627.626287
-20.0,233,2636.388444
-21.0,199,2642.814106
-21.0,198,2647.956325
-21.0,218,2654.260778
-20.0,206,2660.899046
-21.0,187,2664.413707
-21.0,200,2668.309957
-21.0,186,2672.021547
-20.0,207,2676.428446
-21.0,227,2681.161421
-21.0,194,2685.046999
-21.0,249,2689.872316
-21.0,184,2693.441861
-21.0,185,2697.253722
-21.0,187,2700.886447
-20.0,245,2705.848966
-20.0,221,2710.013359
-20.0,227,2714.283745
-21.0,196,2718.178407
-21.0,200,2722.13554
-20.0,204,2726.227917
-21.0,188,2730.165283
-21.0,187,2733.927883
-21.0,221,2738.156624
-21.0,198,2741.921578
-21.0,195,2745.784457
-21.0,229,2750.587956
-21.0,208,2754.578618
-21.0,183,2758.051381
-19.0,254,2763.256655
-21.0,187,2766.935299
-21.0,203,2770.725424
-20.0,221,2775.176718
-21.0,194,2779.250271
-21.0,202,2783.204525
-21.0,196,2787.118691
-21.0,198,2790.92662
-21.0,207,2794.725436
-21.0,187,2798.373471
-21.0,186,2802.174645
-19.0,259,2807.266897
-21.0,240,2812.30056
-21.0,183,2815.914162
-20.0,203,2819.479757
-21.0,213,2823.525386
-21.0,204,2827.516332
-21.0,196,2831.131228
-21.0,189,2834.942015
-21.0,201,2838.650723
-21.0,186,2842.417346
-20.0,217,2846.655164
-21.0,186,2850.22878
-21.0,186,2853.812703
-21.0,209,2857.771295
-20.0,212,2862.283412
-21.0,184,2866.032987
-21.0,203,2869.834422
-21.0,185,2873.476811
-21.0,199,2877.521435
-19.0,239,2882.020146
-21.0,207,2886.575798
-21.0,204,2890.574974
-21.0,230,2895.284044
-21.0,189,2899.092435
-21.0,242,2903.832646
-21.0,190,2907.933439
-21.0,200,2911.867335
-21.0,202,2915.957845
-21.0,214,2920.598534
-21.0,203,2924.604464
-20.0,213,2928.829151
-20.0,212,2933.308534
-20.0,223,2939.876637
-21.0,194,2947.317426
-21.0,213,2952.600194
-21.0,205,2957.619632
-19.0,268,2963.814279
-21.0,198,2967.480512
-21.0,197,2971.311568
-20.0,241,2976.097114
-21.0,216,2980.479975
-21.0,187,2984.36506
-21.0,219,2988.448153
-21.0,216,2992.956323
-21.0,188,2997.298976
-21.0,262,3004.178516
-21.0,243,3009.904619
-21.0,195,3013.888331
-21.0,190,3018.343186
-21.0,182,3022.306013
-21.0,198,3026.179256
-21.0,191,3029.713761
-21.0,197,3033.20062
-21.0,193,3037.111915
-21.0,209,3043.130659
-21.0,193,3049.845924
-21.0,188,3055.029187
-21.0,205,3059.370582
-21.0,191,3063.272602
-19.0,253,3068.282247
-20.0,233,3072.655378
-20.0,234,3077.833969
-21.0,192,3082.430493
-20.0,217,3087.292304
-21.0,192,3091.051489
-21.0,197,3095.002975
-21.0,193,3099.725504
-21.0,186,3103.681381
-21.0,219,3109.271969
-21.0,203,3115.170305
-21.0,193,3119.976455
-21.0,185,3125.160689
-21.0,197,3129.909176
-21.0,219,3134.953047
-19.0,234,3141.221909
-21.0,202,3145.439698
-21.0,227,3150.248626
-21.0,196,3154.134711
-21.0,201,3158.691336
-21.0,196,3162.86636
-21.0,196,3166.718431
-21.0,212,3171.015106
-21.0,189,3175.461524
-21.0,184,3179.313117
-20.0,207,3183.40679
-21.0,199,3188.360798
-21.0,207,3193.021985
-20.0,230,3198.100915
-21.0,194,3202.181147
-21.0,203,3206.878306
-21.0,202,3211.27916
-21.0,195,3215.018612
-20.0,206,3219.423053
-21.0,208,3224.24418
-21.0,193,3229.136749
-20.0,226,3235.308725
-20.0,205,3241.036497
-20.0,207,3246.799369
-21.0,217,3253.248301
-21.0,182,3259.279398
-21.0,193,3265.174922
-21.0,222,3270.828889
-21.0,182,3275.426478
-21.0,191,3279.975163
-21.0,187,3286.619671
-20.0,207,3292.782001
-19.0,292,3303.415379
-21.0,239,3312.12191
-21.0,208,3317.421463
-21.0,195,3321.121756
-20.0,209,3325.142007
-21.0,192,3328.477175
-21.0,233,3332.469551
-21.0,214,3336.704287
-21.0,203,3341.722813
-21.0,183,3346.264733
-21.0,254,3352.741683
-21.0,201,3357.06657
-21.0,197,3361.084512
-21.0,202,3364.875086
-20.0,232,3369.292032
-20.0,234,3373.735346
-21.0,211,3377.768986
-20.0,223,3382.093838
-18.0,269,3387.298785
-20.0,237,3391.927039
-21.0,201,3395.734542
-21.0,204,3400.150707
-21.0,183,3404.330488
-21.0,232,3410.848053
-21.0,191,3415.411755
-21.0,204,3420.373095
-19.0,240,3426.954792
-20.0,209,3432.427671
-21.0,211,3437.989875
-20.0,222,3442.788319
-21.0,208,3447.302361
-21.0,185,3451.191768
-21.0,187,3455.216584
-19.0,228,3460.207965
-21.0,198,3464.533209
-21.0,204,3468.901116
-21.0,219,3473.784303
-21.0,186,3477.948122
-20.0,255,3483.35463
-21.0,204,3488.3058
-21.0,192,3492.291397
-21.0,193,3496.33127
-20.0,242,3501.257791
-21.0,209,3505.576476
-21.0,191,3509.487331
