#{"t_start": 1774206773.0020185, "env_id": "None"}
r,l,t
-21.0,214,1.337508
-21.0,204,2.235404
-20.0,216,3.110569
-21.0,197,3.784148
-21.0,231,4.712144
-21.0,198,5.382537
-21.0,204,6.077212
-21.0,211,6.740703
-20.0,226,7.532768
-20.0,216,8.281662
-21.0,209,8.948059
-20.0,206,9.562511
-20.0,242,10.397341
-21.0,194,10.995858
-20.0,234,11.776625
-19.0,243,12.659762
-21.0,221,13.509743
-21.0,210,14.325112
-21.0,207,15.08017
-21.0,228,15.988644
-21.0,247,17.16344
-18.0,270,18.610803
-21.0,214,19.838308
-20.0,241,21.137941
-21.0,221,22.241309
-19.0,231,23.379424
-21.0,204,24.394076
-21.0,205,25.436426
-21.0,215,26.541012
-21.0,200,27.664245
-21.0,199,28.650667
-20.0,227,29.764483
-21.0,193,30.714138
-21.0,240,31.948076
-21.0,216,33.063084
-21.0,193,34.029681
-21.0,229,35.242172
-20.0,233,36.447342
-21.0,198,37.478155
-20.0,213,38.469868
-21.0,245,39.601591
-21.0,228,40.733553
-21.0,198,41.700295
-21.0,187,42.611716
-19.0,247,43.814921
-3.0,25,44.955823
