#{"t_start": 1774206861.727941, "env_id": "None"}
r,l,t
-21.0,214,1.255633
-21.0,204,2.161357
-20.0,216,3.142835
-21.0,197,4.110015
-21.0,231,5.190777
-21.0,198,6.076966
-21.0,204,6.930943
-21.0,211,7.907608
-20.0,226,8.938104
-20.0,216,9.914693
-21.0,209,10.836629
-20.0,206,11.678942
-20.0,242,12.707634
-21.0,194,13.51188
-20.0,234,14.488118
-19.0,243,15.520915
-21.0,221,16.420237
-21.0,210,17.501596
-21.0,207,18.513077
-21.0,228,19.766681
-21.0,247,20.835172
-18.0,270,21.916641
-21.0,214,23.069894
-20.0,241,24.384637
-21.0,221,25.496204
-19.0,231,26.421681
-21.0,204,27.319185
-21.0,205,28.150205
-21.0,215,29.22106
-21.0,200,30.266986
-21.0,199,31.372762
-20.0,227,32.334607
-21.0,193,33.102994
-21.0,240,34.253176
-21.0,216,35.243182
-21.0,193,36.125466
-21.0,229,37.23009
-20.0,233,38.416967
-21.0,198,39.374478
-20.0,213,40.384754
-21.0,245,41.512849
-21.0,228,42.580767
-21.0,198,43.489514
-21.0,187,44.31538
-19.0,247,45.528811
-3.0,25,46.665903
