#{"t_start": 1774202499.4009326, "env_id": "None"}
r,l,t
-21.0,214,0.930126
-21.0,204,1.712163
-20.0,216,2.556685
-21.0,197,3.309096
-21.0,231,4.133714
-21.0,198,4.828192
-21.0,204,5.658495
-21.0,211,6.466385
-20.0,226,7.23444
-20.0,216,8.006996
-21.0,209,8.673584
-20.0,206,9.377904
-20.0,242,10.139515
-21.0,194,10.742831
-20.0,234,11.575478
-19.0,243,12.485785
-21.0,221,13.272755
-21.0,210,14.001508
-21.0,207,14.706584
-21.0,228,15.575622
-21.0,247,16.666399
-18.0,270,17.614266
-21.0,214,18.44627
-20.0,241,19.28863
-21.0,221,19.990275
-19.0,231,20.865619
-21.0,204,21.637891
-21.0,205,22.3463
-21.0,215,23.07324
-21.0,200,23.741429
-21.0,199,24.36894
-20.0,227,25.121287
-21.0,193,25.794321
-21.0,240,26.550832
-21.0,216,27.270427
-21.0,193,27.975023
-21.0,229,29.006674
-20.0,233,29.934464
-21.0,198,30.719608
-20.0,213,31.589044
-21.0,245,32.558737
-21.0,228,33.467562
-21.0,198,34.267524
-21.0,187,34.951013
-19.0,247,35.822647
-3.0,25,36.981496
