#{"t_start": 1774206674.1104856, "env_id": "None"}
r,l,t
-21.0,214,1.054227
-21.0,204,1.761901
-20.0,216,2.436874
-21.0,197,2.993026
-21.0,231,3.70089
-21.0,198,4.245944
-21.0,204,4.854537
-21.0,211,5.458197
-20.0,226,6.105615
-20.0,216,6.774863
-21.0,209,7.328665
-20.0,206,7.880163
-20.0,242,8.580217
-21.0,194,9.124461
-20.0,234,10.006266
-19.0,243,10.902859
-21.0,221,11.597112
-21.0,210,12.182473
-21.0,207,12.807762
-21.0,228,13.539106
-21.0,247,14.215126
-18.0,270,14.988231
-21.0,214,15.653577
-20.0,241,16.344139
-21.0,221,16.924314
-19.0,231,17.594325
-21.0,204,18.182405
-21.0,205,18.803185
-21.0,215,19.433918
-21.0,200,19.99555
-21.0,199,20.576448
-20.0,227,21.197108
-21.0,193,21.835273
-21.0,240,22.524863
-21.0,216,23.109835
-21.0,193,23.636473
-21.0,229,24.341757
-20.0,233,25.018581
-21.0,198,25.572173
-20.0,213,26.186367
-21.0,245,26.957293
-21.0,228,27.668183
-21.0,198,28.231324
-21.0,187,28.89091
-19.0,247,29.619349
-3.0,25,30.473056
