#{"t_start": 1774202536.6034636, "env_id": "None"}
r,l,t
-21.0,214,1.06389
-21.0,204,1.745323
-20.0,216,2.615189
-21.0,197,3.337769
-21.0,231,4.173982
-21.0,198,4.860886
-21.0,204,5.517271
-21.0,211,6.230216
-20.0,226,6.998981
-20.0,216,7.820773
-21.0,209,8.649363
-20.0,206,9.437395
-20.0,242,10.253993
-21.0,194,11.095271
-20.0,234,12.077343
-19.0,243,12.985551
-21.0,221,13.680862
-21.0,210,14.360839
-21.0,207,15.132738
-21.0,228,15.979525
-21.0,247,16.755579
-18.0,270,17.610998
-21.0,214,18.35279
-20.0,241,19.156471
-21.0,221,19.898773
-19.0,231,20.643243
-21.0,204,21.265861
-21.0,205,21.97041
-21.0,215,22.828464
-21.0,200,23.601276
-21.0,199,24.362716
-20.0,227,25.174575
-21.0,193,25.857517
-21.0,240,26.763069
-21.0,216,27.66217
-21.0,193,28.51701
-21.0,229,29.435057
-20.0,233,30.214504
-21.0,198,30.906587
-20.0,213,31.844301
-21.0,245,32.930766
-21.0,228,33.897943
-21.0,198,34.687319
-21.0,187,35.436286
-19.0,247,36.43757
-3.0,25,37.557674
