#{"t_start": 1774206609.6711173, "env_id": "None"}
r,l,t
-21.0,214,1.142343
-21.0,204,1.93229
-20.0,216,2.706909
-21.0,197,3.395144
-21.0,231,4.215257
-21.0,198,4.926216
-21.0,204,5.611251
-21.0,211,6.22067
-20.0,226,6.937331
-20.0,216,7.668749
-21.0,209,8.288451
-20.0,206,8.852238
-20.0,242,9.620489
-21.0,194,10.302887
-20.0,234,11.069262
-19.0,243,11.933778
-21.0,221,12.633166
-21.0,210,13.244387
-21.0,207,13.950875
-21.0,228,14.717523
-21.0,247,15.418896
-18.0,270,16.267836
-21.0,214,16.957864
-20.0,241,17.684309
-21.0,221,18.373425
-19.0,231,19.127475
-21.0,204,19.875825
-21.0,205,20.633634
-21.0,215,21.232138
-21.0,200,21.819233
-21.0,199,22.398773
-20.0,227,23.084801
-21.0,193,23.716618
-21.0,240,24.410449
-21.0,216,25.123797
-21.0,193,25.768957
-21.0,229,26.560025
-20.0,233,27.248298
-21.0,198,27.812956
-20.0,213,28.638055
-21.0,245,29.36755
-21.0,228,30.146359
-21.0,198,30.832613
-21.0,187,31.484744
-19.0,247,32.249578
-3.0,25,33.082443
