#{"t_start": 1774206704.709785, "env_id": "None"}
r,l,t
-21.0,214,0.922048
-21.0,204,1.59304
-20.0,216,2.275604
-21.0,197,2.967884
-21.0,231,3.979035
-21.0,198,4.679104
-21.0,204,5.297071
-21.0,211,5.883724
-20.0,226,6.439378
-20.0,216,7.053812
-21.0,209,7.599039
-20.0,206,8.116121
-20.0,242,8.746418
-21.0,194,9.353396
-20.0,234,10.055912
-19.0,243,10.750185
-21.0,221,11.345079
-21.0,210,11.887275
-21.0,207,12.50034
-21.0,228,13.064343
-21.0,247,13.734175
-18.0,270,14.592156
-21.0,214,15.346614
-20.0,241,16.201979
-21.0,221,16.954497
-19.0,231,17.692023
-21.0,204,18.392001
-21.0,205,19.079514
-21.0,215,19.761963
-21.0,200,20.499734
-21.0,199,21.255575
-20.0,227,22.011994
-21.0,193,22.675329
-21.0,240,23.489377
-21.0,216,24.338564
-21.0,193,25.061456
-21.0,229,25.996647
-20.0,233,26.795118
-21.0,198,27.44749
-20.0,213,28.180375
-21.0,245,29.098024
-21.0,228,29.993333
-21.0,198,30.747892
-21.0,187,31.44325
-19.0,247,32.39496
-3.0,25,33.372906
