#{"t_start": 1774206818.1448452, "env_id": "None"}
r,l,t
-21.0,214,1.265958
-21.0,204,2.187173
-20.0,216,3.184953
-21.0,197,4.009017
-21.0,231,5.006058
-21.0,198,5.830534
-21.0,204,6.677042
-21.0,211,7.570068
-20.0,226,8.625138
-20.0,216,9.691027
-21.0,209,10.662221
-20.0,206,11.532568
-20.0,242,12.490229
-21.0,194,13.282376
-20.0,234,14.253208
-19.0,243,15.2309
-21.0,221,16.176776
-21.0,210,17.078146
-21.0,207,17.948444
-21.0,228,18.941458
-21.0,247,19.923295
-18.0,270,21.099623
-21.0,214,22.071514
-20.0,241,23.121636
-21.0,221,24.07323
-19.0,231,25.026017
-21.0,204,25.83291
-21.0,205,26.689083
-21.0,215,27.589146
-21.0,200,28.415958
-21.0,199,29.257236
-20.0,227,30.18935
-21.0,193,30.993706
-21.0,240,31.995212
-21.0,216,32.971489
-21.0,193,33.776131
-21.0,229,34.747571
-20.0,233,35.685651
-21.0,198,36.500992
-20.0,213,37.364169
-21.0,245,38.370143
-21.0,228,39.386889
-21.0,198,40.289746
-21.0,187,41.107322
-19.0,247,42.224369
-3.0,25,43.425776
