#{"t_start": 1774206543.471929, "env_id": "None"}
r,l,t
-21.0,214,4.02363
-21.0,204,4.605616
-20.0,216,5.207062
-21.0,197,5.780068
-21.0,231,6.525756
-21.0,198,7.073845
-21.0,204,7.719718
-21.0,211,8.307438
-20.0,226,8.956568
-20.0,216,9.64705
-21.0,209,10.260732
-20.0,206,10.862823
-20.0,242,11.49886
-21.0,194,12.039396
-20.0,234,12.725905
-19.0,243,13.467497
-21.0,221,14.068328
-21.0,210,14.698327
-21.0,207,15.336329
-21.0,228,15.957826
-21.0,247,16.717591
-18.0,270,17.486333
-21.0,214,18.124856
-20.0,241,18.840204
-21.0,221,19.454911
-19.0,231,20.13078
-21.0,204,20.701406
-21.0,205,21.333252
-21.0,215,21.951433
-21.0,200,22.518654
-21.0,199,23.052866
-20.0,227,23.706259
-21.0,193,24.316658
-21.0,240,24.98673
-21.0,216,25.634716
-21.0,193,26.16074
-21.0,229,26.910445
-20.0,233,27.540043
-21.0,198,28.113652
-20.0,213,28.753259
-21.0,245,29.470363
-21.0,228,30.376427
-21.0,198,31.165795
-21.0,187,31.900912
-19.0,247,32.795247
-3.0,25,33.649902
