#{"t_start": 1774206738.216977, "env_id": "None"}
r,l,t
-21.0,214,0.983068
-21.0,204,1.816576
-20.0,216,2.583564
-21.0,197,3.247593
-21.0,231,4.073016
-21.0,198,4.689049
-21.0,204,5.354991
-21.0,211,6.197556
-20.0,226,6.96267
-20.0,216,7.742527
-21.0,209,8.42049
-20.0,206,9.062197
-20.0,242,9.825361
-21.0,194,10.469255
-20.0,234,11.332501
-19.0,243,12.210807
-21.0,221,12.800164
-21.0,210,13.448436
-21.0,207,14.085335
-21.0,228,14.827619
-21.0,247,15.636578
-18.0,270,16.501229
-21.0,214,17.23448
-20.0,241,18.040158
-21.0,221,18.745343
-19.0,231,19.489829
-21.0,204,20.130918
-21.0,205,20.820775
-21.0,215,21.576368
-21.0,200,22.302352
-21.0,199,23.114073
-20.0,227,23.884771
-21.0,193,24.567725
-21.0,240,25.316368
-21.0,216,26.004817
-21.0,193,26.651652
-21.0,229,27.436832
-20.0,233,28.266518
-21.0,198,29.060215
-20.0,213,29.77155
-21.0,245,30.625869
-21.0,228,31.477741
-21.0,198,32.128536
-21.0,187,32.943785
-19.0,247,33.76286
-3.0,25,34.646533
